,price,type,subtype,constructionYear,condition,room_number,cuisine_type,heatingType,mètres carrés,prix mètres carrés,parking extérieur,atticExists,basementExists,hasSwimmingPool,zip,city,municipalities,parking intérieur,lng,lat,id,company_name
107,540000,apartment,apartment,1905.0,just renovated,1.0,hyper equipped,gas,70,7714.29,0.0,False,False,True,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8793328,engel &amp; völkers place brugmann
108,645000,apartment,apartment,1930.0,as new,2.0,usa hyper equipped,gas,200,3225.0,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8831506,victoire (vente)
109,735000,apartment,penthouse,1960.0,to renovate,3.0,installed,electric,200,3675.0,1.0,False,True,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8934642,lecobel  vaneau bruxelles sud
110,850000,apartment,apartment,1904.0,as new,2.0,usa hyper equipped,gas,227,3744.49,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8938770,latour et petit vente
111,1200000,apartment,apartment,2009.0,as new,3.0,hyper equipped,gas,3,400000.0,1.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,9022479,engel &amp; vÖlkers pavillon d&#039;ixelles
112,1445000,apartment,loft,2012.0,as new,3.0,usa hyper equipped,gas,305,4737.7,1.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,9000514,engel &amp; vÖlkers pavillon d&#039;ixelles
113,228000,apartment,apartment,1966.0,as new,1.0,hyper equipped,gas,54,4222.22,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8933830,victoire (vente)
114,1537000,apartment,apartment,2017.0,as new,2.0,usa semi equipped,gas,160,9606.25,1.0,False,False,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8904405,haussmann by oralis
115,1950000,apartment,apartment,2018.0,as new,3.0,usa hyper equipped,gas,211,9241.71,1.0,False,False,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8904407,haussmann by oralis
116,1839000,apartment,apartment,2018.0,as new,3.0,usa semi equipped,gas,201,9149.25,1.0,False,False,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8900715,haussmann by oralis
